Character,Original voice actor,Animated debut
22,Tina Fey[1],Soul
Aaron T.,Topher Ngo[2],Turning Red
Aaron Z.,Josh Levi[2],Turning Red
Abby Park,Hyein Park[2],Turning Red
Abominable Snowman,John Ratzenberger[3][4],"Monsters, Inc."
Acer,Peter Jacobson[5],Cars 2
A.J.,Jess Harnell[6],Up
Al McWhiggin,Wayne Knight[7],Toy Story 2
Alberto Scorfano,Jack Dylan Grazer[8],Luca
Alec Azam,Doug Sweetland[9],Presto
Alfredo Linguini,Lou Romano[10],Ratatouille
Aliens,Jeff Pidgeon[7][11][12],Toy Story
Alpha,Bob Peterson[6],Up
Anchor,Eric Bana[13],Finding Nemo
André,None[14],The Adventures of André & Wally B.
Andy Davis,John Morris[7][11][12],Toy Story
Andy's Mom,Laurie Metcalf[7][11][12],Toy Story
Anger,Lewis Black[15],Inside Out
Anton Ego,Peter O'Toole[10],Ratatouille
Arlo,Raymond Ochoa[16],The Good Dinosaur
Art,Charlie Day[4],Monsters University
Auguste Gusteau,Brad Garrett[10],Ratatouille
"Augustus ""Spike"" Jones",None[3],"Monsters, Inc."
AUTO,MacInTalk[17],WALL-E
Avel,George Psarras[18],Onward
Baboso Gortega,None[4],Monsters University
Babs,Lori Richardson[19],Partysaurus Rex
Baby Smitty,Sophia Ranft[3],"Monsters, Inc."
Babyface,None[11],Toy Story
Bailey,Ty Burrell[20],Finding Dory
Barbie,Jodi Benson[12],Toy Story 3
Barley Lightfoot,Chris Pratt[18],Onward
Bass,None[21],One Man Band
Becky,Torbin Bullock[20],Finding Dory
Benson,Steve Purcell[22],Toy Story 4
Bernie Kropp,Lou Romano[23],The Incredibles
Berto Rivera,Luis Valdez[24],Coco
Beta,Delroy Lindo[6],Up
Billy,Sárközi Olivér[25],Tin Toy
Bing Bong,Richard Kind[15],Inside Out
BIRD-E,None[17],WALL-E
Bloat,Brad Garrett[13][20],Finding Nemo
Bob Gunderson,None[4],Monsters University
Bonnie,Emily Hahn,Toy Story 3
Bonnie's Mom,Lori Alan,Toy Story 3
Bo Peep,Annie Potts[7][11],Toy Story
Bomb Voyage,Dominique Louis[23],The Incredibles
Boo,Mary Gibbs[3],"Monsters, Inc."
Bookworm,Richard Kind[12],Toy Story 3
Prof. Brandywine,None[4],Monsters University
Brent Mustangburger,Brent Musburger[5],Cars 2
Brian,None[4],Monsters University
Britney Davis,Beth Behrs[4],Monsters University
BRL-A,None[17],WALL-E
Brock Pearson,Tyler Labine[4],Monsters University
Bruce,Barry Humphries[13],Finding Nemo
Brynn Larson,None[4],Monsters University
Bubbles,Stephen Root[13][20],Finding Nemo
Buck,Marcus Scribner[16],The Good Dinosaur
BUF-4,None[17],WALL-E
Bullseye,None,Toy Story 2
Bunny,Jordan Peele[22],Toy Story 4
BURN-E,Angus MacLane[17][26],WALL-E
Buster,Frank Welker[7],Toy Story 2
Butch,Sam Elliott[16],The Good Dinosaur
Buttercup,Jeff Garlin[12],Toy Story 3
Buzz Lightyear,Tim Allen[7][11][12]Chris Evans,Toy Story
CA-E,None[17],WALL-E
Cal Weathers,Kyle Petty[27],Cars 3
Captain B. McCrea,Jeff Garlin[17],WALL-E
Capn Suds,Corey Burton[19],Partysaurus Rex
Carl Fredricksen,Edward Asner[6],Up
"Carla ""Killer Claws"" Benitez",None[4],Monsters University
Carla Delgado,None[4],Monsters University
Carrie Williams,Beth Behrs[4],Monsters University
CARSTIC,None[17],WALL-E
CART-IS,None[17],WALL-E
CDA agents,Teddy Newton[3],"Monsters, Inc."
Celia Mae,Jennifer Tilly[3],"Monsters, Inc."
Charles F. Muntz,Christopher Plummer[6],Up
Charlie Proctor,Phil Proctor[3],"Monsters, Inc."
Chatter Telephone,Teddy Newton[12],Toy Story 3
Chen,Lori Tan Chinn[2],Turning Red
Chet Alexander,Bobby Moynihan[4],Monsters University
Chicharrón,Edward James Olmos[24],Coco
Chick Hicks,Michael Keaton[28],Cars
Chip Goff,None[4],Monsters University
Chuck E. Duck,Tony Cox/Don Fullilove[19],Partysaurus Rex
Chuckles,Bud Luckey[12],Toy Story 3
Chunk,Jack Angel[12],Toy Story 3
Chum,Bruce Spence[13],Finding Nemo
Charlie,Eugene Levy[20],Finding Dory
Ciccio,Peter Sohn[8],Luca
Claire Wheeler,Aubrey Plaza[4],Monsters University
Coco Rivera,Ana Ofelia Murguía[24],Coco
Collette Tatou,Janeane Garofalo[10],Ratatouille
Colt Bronco,Mel Rodriguez[18],Onward
Commander Burnside,Isiah Whitlock Jr.,Lightyear
Condorman,Bob Bergen[29],Small Fry
Coral,Elizabeth Perkins[13],Finding Nemo
"""Corey"" The Manticore",Octavia Spencer[18],Onward
Crabby the Boat,Sig Hansen[5],Cars 2
"Crow, The",Steve Purcell[30],Brave
Crush,Andrew Stanton[13][20],Finding Nemo
Cuddles,Sherry Lynn[19],Partysaurus Rex
Cruz Ramirez,Cristela Alonzo[27],Cars 3
Crystal Du Bois,Beth Behrs[4],Monsters University
Curly,Questlove[1],Soul
D-FIB,None[17],WALL-E
Dad,Jim Ward[31],Party Central
Dante,Frank Welker[24],Coco
Daniela Paguro,Maya Rudolph[8],Luca
Darla Sherman,Lulu Ebeling[13],Finding Nemo
Darrell Cartrip,Darrell Waltrip[5][28],Cars
Dashiell Parr,Spencer Fox[23],The Incredibles
Dave,MacInTalk[17],WALL-E
David Hobbscap,David Hobbs[5],Cars 2
Dean Hardscrabble,Helen Mirren[4],Monsters University
Deb (and Flo),Vicki Lewis[13][20],Finding Nemo
Debbie Gabler,None[4],Monsters University
Destiny,Kaitlin Olson[20],Finding Dory
Devon,Addie Chandler[2],Turning Red
Dewdrop,Grey DeLisle[18],Onward
Dez,Donnell Rawlings[1],Soul
Diaz,Efren Ramirez,Lightyear
DIG-R,None[17],WALL-E
Dim,Brad Garrett[32],A Bug's Life
Dirk Pratt,None[4],Monsters University
Disgust,Mindy Kaling[15],Inside Out
DJ Blu-Jay,Bret Parker[29],Small Fry
Django,Brian Dennehy[10],Ratatouille
Doc Hudson,Paul Newman[28],Cars
Dolly,Bonnie Hunt[12],Toy Story 3
Don Carlton,Joel Murray[4],Monsters University
Donna Soohoo,None[4],Monsters University
Dorothea Williams,Angela Bassett[1],Soul
Dory,Ellen DeGeneres[13][20],Finding Nemo
Dr. Flora,Edie McClurg[32],A Bug's Life
Drips,Mark Walsh[19],Partysaurus Rex
Ducky,Dee Bradley Baker[11],Toy Story
Ducky,Keegan-Michael Key[22],Toy Story 4
Dug,Bob Peterson[6],Up
Duke Caboom,Keanu Reeves[22],Toy Story 4
Dusty,Ray Magliozzi[28],Cars
Earl,John Ratzenberger[16],The Good Dinosaur
"Earl ""The Terror"" Thompson",None[4],Monsters University
Edith,Mickie McGowan[6],Up
Edna Mode,Brad Bird[23],The Incredibles
Elastigirl/Helen Parr,Holly Hunter[23],The Incredibles
Elena Rivera,Renée Victor[24],Coco
Elinor,Emma Thompson[30],Brave
Ellie Fredricksen,Elizabeth Docter[6],Up
Emile,Peter Sohn[10],Ratatouille
Emmet,Mona Marshall[4],Monsters University
Emperor Zurg,Andrew Stanton[7],Toy Story 2
Epsilon,None[6],Up
Ercole Visconti,Saverio Raimondo,Luca
Ernesto de la Cruz,Benjamin Bratt[24],Coco
Ernie,Gary Rydstrom[33],Lifted
EVE,Elissa Knight[17],WALL-E
Evelyn Deavor,Catherine Keener[34],Incredibles 2
Felipe and Oscar Rivera,Herbert Sigüenza[24],Coco
Fear,Bill Hader[15],Inside Out
Fenwick,John Ratzenberger[18],Onward
FIL-R,None[17],WALL-E
Fillmore,George Carlin[28]Lloyd Sherr[5][27],Cars
Finn McMissile,Michael Caine[5],Cars 2
FIX-IT,None[17],WALL-E
Flik,Dave Foley[32],A Bug's Life
Flo,Jenifer Lewis[5][28],Cars
Fluke,Idris Elba[20],Finding Dory
FM-AD,None[17],WALL-E
Forrest Woodbush,Peter Sohn[16],The Good Dinosaur
Forky,Tony Hale[22],Toy Story 4
Francesco Bernoulli,John Turturro[5],Cars 2
Francis,Denis Leary[32],A Bug's Life
Franklin,Jim Ward[29],Small Fry
Fred,Andrew Stanton[28],Cars
"""Frightening"" Frank McCay",John Krasinski[4],Monsters University
Miss Fritter,Lea DeLaria[27],Cars 3
Fritz,John Ratzenberger[15],Inside Out
Frog,None[11],Toy Story
Frozone/Lucius Best,Samuel L. Jackson[23],The Incredibles
Fungus,Frank Oz[3],"Monsters, Inc."
Funky Monk,Angus MacLane[29],Small Fry
GA-FO,None[17],WALL-E
Gabby Gabby,Christina Hendricks[22],Toy Story 4
Gamma,Jerome Ranft[6],Up
GAR-E,None[17],WALL-E
Gary Grappling Hook,Angus MacLane[29],Small Fry
Gaxton,Wilmer Valderrama[18],Onward
George,Donald Fullilove[6],Up
George Sanderson,Sam Black[3],"Monsters, Inc."
GER-8,None[17],WALL-E
Gerel,June Squibb[1],Soul
Geri,Bob Peterson,Geri's Game
Gerald,Torbin Bullock[20],Finding Dory
Ghost Burger,Jason Topolski[29],Small Fry
Giggle McDimples,Ally Maki[22],Toy Story 4
Gilbert Huph,Wallace Shawn[23],The Incredibles
Gill,Willem Dafoe[13][20],Finding Nemo
Giulia Marcovaldo,Emma Berman[8],Luca
GO-4,None[17],WALL-E
Gordon,John Ratzenberger[30],Brave
Gore,Ali Wong[18],Onward
GRAB-E,None[17],WALL-E
Grandma Paguro,Sandy Martin[8],Luca
Grecklin,Tracey Ullman[18],Onward
Grem,Joe Mantegna[5],Cars 2
Guido,Guido Quaroni[5][28],Cars
Guido,Lorenzo Crisci[8],Luca
Gurgle,Austin Pendleton[13][20],Finding Nemo
Gustavo,Lombardo Boyar[24],Coco
Gypsy,Madeline Kahn[32],A Bug's Life
Hal,None[17],WALL-E
Hamm,John Ratzenberger[7][11][12],Toy Story
HAN-S,Charlie Adler[17],WALL-E
Hank,Ed O'Neill[20],Finding Dory
"Hank ""The Tank"" Knapp",None[4],Monsters University
Hannah Phillips,Sarah Freeman[11],Toy Story
Harv,Jeremy Piven (US)[28]Jeremy Clarkson (UK)[28],Cars
He-Lectrix,Phil LaMarr[34],Incredibles 2
Heather Olson,Beth Behrs[4],Monsters University
Héctor Rivera,Gael García Bernal[24],Coco
Heimlich,Joe Ranft[32],A Bug's Life
Helen,Sherry Cola[2],Turning Red
Henry J. Waternoose III,James Coburn[3],"Monsters, Inc."
HLM-T,None[17],WALL-E
Holley Shiftwell,Emily Mortimer[5],Cars 2
Hopper,Kevin Spacey[32],A Bug's Life
Ian Lightfoot,Tom Holland[18],Onward
Imelda Rivera,Alanna Ubach[24],Coco
Izzy,Keke Palmer,Lightyear
Jack-Jack Parr,Eli FucileMaeve Andrews[23],The Incredibles
Jackson Storm,Armie Hammer[27],Cars 3
Jacques,Joe Ranft[13],Finding Nemo
James P. Sullivan,John Goodman[3][4],"Monsters, Inc."
Jangles the Clown,Josh Cooley[15],Inside Out
Javier Rios,None[4],Monsters University
Jeff Gorvette,Jeff Gordon[5],Cars 2
Jenny,Diane Keaton[20],Finding Dory
Jerry,Steve Susskind[3],"Monsters, Inc."
Jerry Recycled Batteries,Joe Ranft[28],Cars
Jesse,Finneas O'Connell[2],Turning Red
Jessie,Joan Cusack[7][12],Toy Story 2
Jin Lee,Orion Lee[2],Turning Red
Joe Gardner,Jamie Foxx[1],Soul
John,John Ratzenberger[17],WALL-E
John Lassetire,John Lasseter[5],Cars 2
Johnny Worthington,Nathan Fillion[4],Monsters University
Joy,Amy Poehler[15],Inside Out
Juan Ortodoncia,John Ratzenberger[24],Coco
Julio Rivera,Alfonso Arau[24],Coco
Karen Graves,Bonnie Hunt[4],Monsters University
Kari McKeen,Bret Parker[23],The Incredibles
Ken,Michael Keaton[12],Toy Story 3
Kevin,Pete Docter[6],Up
King Fergus,Billy Connolly[30],Brave
Knick,None[35],Knick Knack
KO-PS,None[17],WALL-E
Koala Kopter,Carlos Alazraqui[29],Small Fry
Krushauer,Phil LaMarr[34],Incredibles 2
KY-LE,None[17],WALL-E
L-T,None[17],WALL-E
LA-NS,None[17],WALL-E
Lanky Schmidt,Bob Bergen[3],"Monsters, Inc."
Laurel Lightfoot,Julia Louis-Dreyfus[18],Onward
Legs,None[11],Toy Story
Lele,Napua Greig[36],Lava
Lenny,Joe Ranft[11],Toy Story
Lewis Hamilton,Lewis Hamilton[5],Cars 2
Libba Gardner,Phylicia Rashad[1],Soul
Lightning McQueen,Owen Wilson[5][28],Cars
Lily,Mia Tagano[2],Turning Red
Lizard Wizard,Josh Cooley[29],Small Fry
Lizzie,Katherine Helmond[5][28],Cars
LO-A,None[17],WALL-E
LOLZ-E,Ben Burtt[17],WALL-E
Lord MacGuffin,Kevin McKidd[30],Brave
Lord Macintosh,Craig Ferguson[30],Brave
Lord Dingwall,Robbie Coltrane[30],Brave
Lorenzo Crisci,Peter Sohn,Luca
Lorenzo Paguro,Jim Gaffigan[8],Luca
LOTD,None[17],WALL-E
Lots-O'-Huggin' Bear,Ned Beatty[12],Toy Story 3
Louise Nash,Margo Martindale[27],Cars 3
Luca Paguro,Jacob Tremblay[8],Luca
Luigi,Tony Shalhoub[5][28],Cars
Lumpy,None[37],Red's Dream
Luxo Jr.,None[38],Luxo Jr.
Luxo Sr.,None[38],Luxo Jr.
M-O,Ben Burtt[17],WALL-E
Mabel,Sally Kellerman,Ratatouille
Mack,John Ratzenberger[5][28],Cars
Magic 8-Ball,None[11],Toy Story
Mamá Rivera,Sofía Espinosa[24],Coco
Mama Topolino,Vanessa Redgrave[5],Cars 2
Manny,Jonathan Harris[32],A Bug's Life
Maria Garcia,None[4],Monsters University
Marlin,Albert Brooks[13][20],Finding Nemo
Martin,Patrick Doyle[30],Brave
Mary,Kathy Najimy[17],WALL-E
Massimo Marcovaldo,Marco Barricelli[8],Luca
Mater,Larry the Cable Guy[5][28],Cars
Maudie,Sally Kinghorn[30]Eilidh Fraser[30],Brave
Meg,Paris Van Dyke[15],Inside Out
Mei's Grandmother,Wai Ching Ho[2],Turning Red
"Meilin ""Mei"" Lee",Rosalie Chiang[2],Turning Red
Merida,Kelly Macdonald[30],Brave
Mia,Lindsey Collins[28],Cars
Miguel,Anthony Gonzalez[24],Coco
Mike Wazowski,Billy Crystal[3][4],"Monsters, Inc."
Miles Axlerod,Eddie Izzard[5],Cars 2
Ming Lee,Sandra Oh[2],Turning Red
Mini Buzz Lightyear,Teddy Newton[29],Small Fry
Mini Zurg,Jess Harnell[29],Small Fry
Minny,Edie McClurg[28],Cars
Mirage,Elizabeth Peña[23],The Incredibles
Miriam,Ava Morse[2],Turning Red
MO-NS,None[17],WALL-E
MOEA-E,None[17],WALL-E
Molly Davis,Hannah Unkrich (Toy Story 2)[39]Beatrice Miller (Toy Story 3)[12],Toy Story
Molt,Richard Kind[32],A Bug's Life
Mom,Colleen O'Shaughnessey[31],Party Central
Momma Ida,Frances McDormand[16],The Good Dinosaur
"Moonfish, School of",John Ratzenberger[13],Finding Nemo
Moonwind,Graham Norton[1],Soul
Morrison,Taika Waititi,Lightyear
Mr. B,Gary Rydstrom[33],Lifted
Mr. Gao,James Hong[2],Turning Red
Mr. Incredible/Robert Parr,Craig T. Nelson[23],The Incredibles
Mr. Kieslowski,Sasha Roiz[2],Turning Red
Mr. Potato Head,Don Rickles[7][11][12],Toy Story
Mr. Pricklepants,Timothy Dalton[12],Toy Story 3
Mr. Ray,Bob Peterson[13],Finding Nemo
Mr. Shark,Jack Angel[11],Toy Story
Mr. Soil,Roddy McDowall[32],A Bug's Life
Mr. Spell,Jeff Pidgeon[11],Toy Story
Mrs. Marsigliese,Marina Massironi[8],Luca
Mrs. Potato Head,Estelle Harris[7][12],Toy Story 2
Ms. Flint,Bonnie Hunt[3],"Monsters, Inc."
Mustafa,John Ratzenberger[10],Ratatouille
MVR-A,None[17],WALL-E
NAN-E,Tress MacNeille[17],WALL-E
Nadya Petrov,None[4],Monsters University
Nancy Kim,None[4],Monsters University
Naomi Jackson,Beth Behrs[4],Monsters University
